ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time
373563,Kalyani Nagar,Pune,Ori Story - Chinese & Oriental,593.0548969677825,2.9,80.0,"Chinese,Oriental,Fast Food,Combo",Kalyani Nagar,70
373731,Central Bangalore,Bangalore,Grand Foodies Restaurant,513.9603816618094,2.9,80.0,"Street Food,Indian,Chinese,Biryani",Central Bangalore,46
373737,Kothapet,Hyderabad,Viyaala Vaari Vindhu,604.2418101899952,4.0,50.0,South Indian,Kothapet & Dilsukhnagar,58
373756,Rajajinagar,Bangalore,Chaska,515.1973049145743,2.9,80.0,"Fast Food,Snacks,Beverages",Basaveshwaranagar,68
373836,Bandra Area,Mumbai,The Mexican Box,562.4870532489077,3.8,20.0,Mexican,Scruz Bandra East,41
373963,Bhowanipore,Kolkata,Pocket Meal 99,1500.0,3.8,1000.0,"North Indian,Biryani,Mughlai,Bengali,Snacks",Alipore,63
373986,Bidhannagar,Kolkata,Krazee Kulcha,604.213145534733,4.0,20.0,Indian,Bidhannagar,69
374027,Kothrud,Pune,New Aswad Gomantak,495.32864090676685,2.9,80.0,"Indian,Seafood,Biryani,Thalis",Kothrud,55
374028,Jayanagar,Bangalore,The Cafe Bar - Jayanagar,493.3626170563651,2.9,80.0,"Beverages,European,Combo",Jayanagar,54
374107,Santacruz East,Mumbai,Sushiya,560.4498826802259,2.9,80.0,Sushi,Scruz Bandra East,39
374113,Anna Nagar,Chennai,Taste Of Italy,511.2400608486096,4.3,20.0,Italian-American,Annanagar,70
374134,Alwarpet,Chennai,Bread And Chocolate,769.283700503425,4.6,100.0,"Bakery,Desserts,Fast Food,Snacks",Alwarpet,65
374165,Kothrud,Pune,Billion Burger,573.7565187603844,4.3,20.0,"Fast Food,American",Kothrud,55
374173,Nungambakkam,Chennai,Burmese Cafe,538.2027498947336,3.9,50.0,"Indian,Chinese,Burmese",Nungambakkam,49
374208,Kurla,Mumbai,Jamie Oliver'S Diner,531.4427736540233,2.9,80.0,"Fast Food,American",Kurla,56
374213,Vesu,Surat,The Bungalow Cafe,645.8831340543288,4.7,20.0,"Snacks,Fast Food",Piplod,58
374315,Marol Maroshi Road,Mumbai,Falafel'S,673.5163216004597,4.2,100.0,Lebanese,Sanabil Banquets Hall,48
374317,Marol Maroshi Road,Mumbai,General Tsos Kitchen,555.716649355012,2.9,80.0,"Chinese,Thai,Asian",Sanabil Banquets Hall,52
374318,Marol Maroshi Road,Mumbai,El Jefe'S Mexicana,592.5738619809827,2.9,80.0,Mexican,Sanabil Banquets Hall,54
374351,Central Bangalore,Bangalore,Haagen Dazs,552.6837058342336,4.4,20.0,Ice Cream,Phoenix Arcade,32
374368,Kodungaiyur,Chennai,Italian Kings Park,569.8414737188602,2.9,80.0,"Italian,Snacks",Perambur,70
374402,Koregaon Park,Pune,Butter Brews - Koregaon Park,559.912673839731,2.9,80.0,"European,Continental",Kalyani Nagar,56
374517,Ghatkopar East,Mumbai,Cafe Jethwa Food Corner,524.3072597587678,2.9,80.0,"Continental,Beverages",Ghatkopar Vikhroli,55
374531,Ellisbridge,Ahmedabad,Jumboking Indian Burger,567.9098329225009,4.0,50.0,Fast Food,Navrangpura,29
374548,Chembur,Mumbai,Hot N Spice,498.7800870274884,2.9,80.0,"Chinese,Indian,Thalis,Combo",Chembur,40
374615,Vikhroli West,Mumbai,Ammu'S Kitchen,551.6373290441744,2.9,80.0,Chinese  Biryani  Indian  Tandoor  Desserts,Ghatkopar Vikhroli,58
374649,L.P.Savani,Surat,Jani Locho & Khaman House,756.2093753982284,4.3,100.0,"North Indian,Indian,Gujarati,Snacks,Fast Food,Street Food",Adajan,51
374840,Kurla,Mumbai,Hotel Rudra,515.4479769096955,2.9,80.0,Chinese,Kurla,36
374962,Rajouri Garden,Delhi,Mr Crust Bakers,711.8002700976095,4.5,100.0,"Bakery,Desserts",Rajouri Garden,67
375044,Sarkhej Road,Ahmedabad,Karim'S Restaurant,585.4225053282212,2.9,80.0,"Indian,Tandoor",Laldarwaja,51
375119,Shyam Bazar,Kolkata,New Madras Tiffin,699.7591067838259,4.4,100.0,"South Indian,Beverages",Burrabazar,41
375137,Andheri East,Mumbai,Kusum Rolls,544.3260352652279,3.8,50.0,Indian,Marol Naka,46
375219,Entally,Kolkata,Om Snacks Center,508.76003445478864,2.9,80.0,"Chinese,Tandoor,Indian",Central Kolkata,53
375297,Santacruz West,Mumbai,La Petit Boulangerie,527.4487670406404,4.5,20.0,Bakery  Desserts,Prabhat Colony  Santacruz East.,53
375321,Bhawani Peth,Pune,Hotel Bismillah,585.1810730776531,4.2,50.0,North Indian,Camp,36
375322,Bhawani Peth,Pune,Hotel Shamiaana,484.8915779870992,2.9,80.0,North Indian,Camp,36
375326,Bhawani Peth,Pune,Hotel Zamzam,488.0887525366431,4.1,20.0,"North Indian,Chinese",Camp,38
375329,Bhawani Peth,Pune,Hotel New Star,425.2220988799413,2.9,80.0,North Indian,Camp,36
375337,Bhawani Peth,Pune,Hotel Buff Special,547.0189250243606,4.5,20.0,North Indian,Camp,39
375382,Indiranagar,Bangalore,Artinci - Indulge Guilt Free!,624.501158763005,4.7,50.0,"Ice Cream,Healthy Food,Keto,Desserts,Snacks,Beverages,Bakery",Domlur,56
375404,Kodungaiyur,Chennai,Shero Home - Sambar Poriyal & Rasam,666.0734097117992,4.1,50.0,"South Indian,Home Food,Healthy Food,Desserts",Madhavaram - Manali,84
375485,Mylapore,Chennai,Thirsty Inc.,545.21281930338,2.9,80.0,"Beverages,Juices",Mylapore,71
375491,Piplod,Surat,Firangi Zayka,586.7092353898761,2.9,80.0,Fast Food,Piplod,65
375544,Bidhannagar,Kolkata,Bhooter Raja Dilo Bor,710.6958483075916,4.2,100.0,Bengali,Salt Lake,85
375576,Bhawani Peth,Pune,Hotel Maharashtra,494.02853323727174,4.1,20.0,North Indian,Camp,45
375592,Anna Nagar,Chennai,Erode Amman Mess,1500.0,4.3,1000.0,"North Indian,South Indian,Biryani",Annanagar,65
375593,Gulbai Tekra,Ahmedabad,The American Eatery | Superdonuts,598.3859277125227,4.5,50.0,"American,Desserts,Beverages",Navrangpura,35
375637,Ballygunge,Kolkata,House Of Dimsums,471.9493709007708,3.8,20.0,"Chinese,Thai",Central Kolkata,76
375657,Vadapalani,Chennai,Yummioza Chinese Restaurant,609.4115561858499,2.9,80.0,Chinese,Vadapalani,80
375674,Koramangala,Bangalore,Indus Spice House [Ish],535.7385179665251,2.9,80.0,North Indian,Koramangala,68
375675,Kalighat,Kolkata,Tea Time,582.428242520961,4.5,50.0,Beverages,South Kolkata,59
375676,Bhowanipore,Kolkata,Marbella'S,608.8114251085215,4.3,50.0,"Continental,American,Italian,Beverages,Desserts,Healthy Food",Central Kolkata,61
375733,Magarpatta,Pune,Diamond Restaurant,604.2844102970427,2.9,80.0,North Indian,Magarpatta,78
375750,Mehdipatnam,Hyderabad,Js Fast Food,480.90185819807493,2.9,80.0,"North Indian,Indian,Snacks,Beverages",Tolichowki,61
375753,Kothrud,Pune,Zatka Misal,561.2482263646691,2.9,80.0,"South Indian,Beverages",Kothrud,51
375776,Anna Nagar,Chennai,Biggies Burger,725.0197024439448,4.1,100.0,"Fast Food,Beverages,American",Annanagar,70
375783,Deccan Gymkhana,Pune,Greedy Momos,489.3772975837617,4.0,20.0,"Chinese,Fast Food,Snacks,Beverages",Shivaji Nagar,36
375792,Kuber Nagar,Ahmedabad,Best Omlet,569.1241538351704,2.9,80.0,"Street Food,Snacks",Naroda,86
375828,New Magdalla,Surat,K S Verandah,605.2936089352446,4.5,20.0,"Pan-Asian,Continental,Punjabi,North Indian",Piplod,66
375855,Sector V Salt Lake,Kolkata,Slay Coffee,751.6465361182319,4.3,100.0,"Beverages,Desserts",Sector V,70
375881,Ghatkopar East,Mumbai,T3 Tasty Treat Town Family Restaurant,559.647389525243,2.9,80.0,"Biryani,Tandoor,Indian,North Indian",Pestom Sagar Road No-4,57
375941,Bidhannagar,Kolkata,Namak,678.7561398515243,4.2,100.0,"North Indian,Chinese,Oriental,Italian,Biryani,Kebabs,Healthy Food,Desserts,Beverages",Salt Lake,59
375945,Koramangala,Bangalore,Brown Burger Co.,562.719219528054,4.4,20.0,"American,Fast Food,Beverages,Pizzas,Snacks,Juices,Desserts",Koramangala,60
375967,Bkc,Mumbai,Olive Pizzeria,535.1898355597837,2.9,80.0,"Pizzas,Fast Food,Italian",Scruz Bandra East,48
375985,Narotam Nagar,Surat,Food Adda,702.87493639849,4.0,100.0,"Pizzas,Mexican,Chinese,Fast Food,Combo",Adajan,46
375997,Rohini,Delhi,Artinci - Indulge Guilt Free!,645.1197087792751,4.4,50.0,"Ice Cream,Healthy Food,Keto,Desserts,Snacks,Beverages,Bakery",Rohini,39
376009,Frazer Town,Bangalore,Renuka Foods,531.6194755063808,2.9,80.0,"Indian,Biryani,Chinese",Frazer Town,54
376069,Annamalai Colony,Chennai,The Chinese Mealbox (Cmb),825.2795400658729,4.0,100.0,Chinese,Vadapalani,88
376099,Anna Nagar,Chennai,Kerala Kitchen,682.1527144002116,4.0,100.0,"South Indian,Chinese",Annanagar,67
376140,Bhowanipore,Kolkata,Kapoor Pind Dhabaa,569.7654015730578,4.1,20.0,"Indian,Chinese,Desserts,Beverages,Biryani",Bhawanipore,67
376161,Anna Nagar,Chennai,Chinese Wox,772.6474450672572,4.6,100.0,Chinese,Annanagar,68
376168,Rajouri Garden,Delhi,White Cub,550.2388311104253,2.9,80.0,Ice Cream,Rajouri Garden,78
376188,Dahin Nagar,Surat,Hello Shake,588.3088737291041,2.9,80.0,"Beverages,Juices,Snacks",Adajan,65
376190,Anna Nagar,Chennai,Madurai Military Hotel,740.2237791257509,4.2,100.0,"South Indian,Biryani",Annanagar,63
376202,Anna Nagar,Chennai,Bangkok Bae,707.60934708699,4.4,50.0,"Asian,Thai",Annanagar,68
376239,Santacruz East,Mumbai,Merwans Cake Stop,1447.4813607332287,4.5,500.0,"Bakery,Desserts",Scruz Bandra East,40
376240,Topsia,Kolkata,Sabka Club,559.7671426777481,2.9,80.0,"Continental,Italian,North Indian",Central Kolkata,76
376244,Bandra Kurla Complex,Mumbai,Good Flippin' Burgers,704.3766336274715,4.6,100.0,"American,Fast Food",Scruz Bandra East,34
376260,Nungambakkam,Chennai,Junior Kuppanna,1500.0,4.1,1000.0,"Biryani,South Indian,North Indian",Nungambakkam,59
376269,Toli Chowki,Hyderabad,Baithak,569.6660151848737,3.7,20.0,"Continental,Beverages",Tolichowki,71
376361,Park Street Area,Kolkata,Gupta Brothers,685.3139265559339,4.1,100.0,Indian  North Indian  Chinese  Snacks  Chaat  Thalis  Combo,Central Kolkata,46
376364,Anna Nagar,Chennai,The New Punjab Club,596.1871107814829,4.6,20.0,North Indian,Annanagar,66
376412,Wadgaon Sheri,Pune,Ice Cream Factory And Shahi Durbar,528.1803133474115,2.9,80.0,"Ice Cream,Desserts,Beverages",Kalyani Nagar,66
376424,Jadavpur,Kolkata,Fnf Food Centre,546.1848270939212,2.9,80.0,"Fast Food,Pastas,Combo",Jadavpur,93
376436,Tagore Garden Extension,Delhi,Musafir By Imly,566.5491520974946,4.0,50.0,"Indian,Chinese,Italian",Rajouri Garden,73
376466,Karve Nagar,Pune,Susha'S Cafe,574.4193256664802,2.9,80.0,"Fast Food,Pizzas,Beverages",Kothrud,56
376487,Washermanpet,Chennai,Hotel Pandian,696.6592113361447,3.7,100.0,"Biryani,South Indian,Chinese,Seafood",Washermenpet,61
376491,Kilpauk,Chennai,London Dessert Co,643.0007046680977,3.8,100.0,"Desserts,Beverages,Snacks",Kilpauk,40
376615,Piplod,Surat,Enjoy,533.4160750880742,4.2,50.0,"North Indian,Punjabi,Chinese",Piplod,59
376616,Piplod,Surat,Sizzling Salsa,590.802059365301,4.5,20.0,"Mexican,Continental,Italian",Piplod,56
376629,Andheri East,Mumbai,Chine Dine,601.7640526417631,3.7,100.0,"Chinese,Thai,North Indian,Biryani,South Indian,Maharashtrian,Snacks,Combo",Marol Sakinaka,56
376645,Koyambedu,Chennai,Firewood Briyani,581.2895629717452,2.9,80.0,"Biryani,Indian,Chinese,Tandoor",Arumbakkam,74
376664,Bhowanipore,Kolkata,Sharma Snacks Centre,743.9288166431079,4.4,100.0,Snacks  Fast Food  Desserts  Beverages,Central Kolkata,46
376665,Sarvodaya Colony,Hyderabad,The Mirchiesz,694.3350094542924,3.8,100.0,"Chinese,Biryani,Indian",Kothapet & Dilsukhnagar,74
