ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time,price_log
42113,Bidhannagar,Kolkata,Waffle Square Express,200.0,3.0,50.0,Desserts,Beside Technopolis,78,5.298317366548036
42220,Ambawadi,Ahmedabad,Ab Chai Pe Charcha,200.0,3.3,100.0,"Snacks,Fast Food,Beverages",Paldi,45,5.298317366548036
42225,Gultekdi,Pune,Spice Stories,500.0,3.9,20.0,"Maharashtrian,North Indian",Kondhwa,58,6.214608098422191
42232,Paldi,Ahmedabad,Navjivan Restaurant,400.0,4.1,100.0,"Punjabi,North Indian,Chinese,Continental",Paldi,32,5.991464547107982
42313,Paldi,Ahmedabad,Udipi Cafe,450.0,4.2,100.0,"Punjabi,Indian,Chinese",Paldi,26,6.1092475827643655
42315,Ambawadi,Ahmedabad,Tummy Fillers,200.0,4.1,20.0,"Fast Food,Beverages",Nehru Nagar Ambawadi,38,5.298317366548036
42345,Paldi,Ahmedabad,China Hut,400.0,4.0,50.0,"North Indian,Chinese",Paldi,33,5.991464547107982
42365,Sector 5 Rohini,Delhi,Zaffran,400.0,2.9,80.0,North Indian,Sector 5 Rohini,39,5.991464547107982
42416,Baguihati,Kolkata,Annapurna Pure Veg Restaurant,250.0,4.1,1000.0,"Indian,Chinese,Snacks,Thalis",Near Asha Studio,90,5.521460917862246
42466,Anna Nagar,Chennai,Lassi Shop,100.0,4.3,100.0,"Beverages,Ice Cream,Desserts,Fast Food,Juices,North Indian,American,Snacks,Bakery",Opp K3 Police Station,53,4.605170185988091
42577,Pulikeshi Nagar,Bangalore,Cream Stone,400.0,4.3,100.0,"Ice Cream,Desserts,Beverages",61 Mm Road,45,5.991464547107982
42725,Kolkata,Kolkata,Saatvik,800.0,4.3,100.0,"Continental,North Indian,Chinese",Near Loha Singh Hotel,68,6.684611727667927
42733,Koramangala,Bangalore,Makers Of Milkshakes,260.0,4.2,50.0,"Beverages,Desserts",2Nd Cross Rd,56,5.560681631015528
42739,Rajajinagar,Bangalore,Hotel Udupi Ruchi,300.0,4.1,100.0,"South Indian,Chinese,Desserts,North Indian",Rajajinagar,51,5.703782474656201
42906,Kothrud,Pune,Sheetal Restaurant,400.0,4.4,1000.0,"North Indian,South Indian,Chinese",Kothrud,47,5.991464547107982
43036,Kilpauk,Chennai,The Noodle Theory,400.0,4.0,100.0,"Asian,Fast Food",Kilpauk,55,5.991464547107982
43274,Shivajinagar,Pune,Panchali Restaurant,500.0,4.3,100.0,North Indian,Shivaji Nagar,33,6.214608098422191
43312,Chembur,Mumbai,Sind Pani Puri House,200.0,4.5,100.0,Snacks,Chembur,43,5.298317366548036
43380,Vikaspuri,Delhi,Vanakkam Madras Cafe,150.0,4.2,100.0,"South Indian,Chinese",Dda Market,77,5.0106352940962555
43409,Delhi,Delhi,Madras Dosa & Chinese Corner (Shalimar Bagh),300.0,3.9,1000.0,"South Indian,Chinese,Italian,Beverages,Snacks",Al Market Shalimar Bagh,63,5.703782474656201
